"month_id","platform_id","platform_name","total_sales_rmb","total_sales_num","shop_count","money_valid_rows","num_valid_rows","last_sales_rmb","mom_growth_pct","created_time"
"202501","1","SMT","8815040918.60","135786311.0000","1544635","122614","122614","NULL","NULL","2026-07-15 04:43:22"
"202501","2","Amazon","145287461147.66","713076865.4996","274126","273622","273750","NULL","NULL","2026-07-15 04:43:22"
"202501","3","Alibaba","30320418541.50","3968243.0000","300649","49333","49332","NULL","NULL","2026-07-15 04:43:22"
"202501","4","Ozon","3333262543.00","15947038.0000","127972","127968","127948","NULL","NULL","2026-07-15 04:43:22"
"202502","1","SMT","11465704305.80","126070008.0000","1544635","121573","121573","8815040918.60","30.0698","2026-07-15 04:43:22"
"202502","2","Amazon","140436897007.22","682416321.4964","262338","261914","261972","145287461147.66","-3.3386","2026-07-15 04:43:22"
"202502","3","Alibaba","28455064017.75","3777227.0000","301116","48598","48589","30320418541.50","-6.1521","2026-07-15 04:43:22"
"202502","4","Ozon","5095698904.00","29824764.0000","127972","127968","127948","3333262543.00","52.8742","2026-07-15 04:43:22"
"202503","1","SMT","6978369019.70","133622823.0000","1544635","120109","120109","11465704305.80","-39.1370","2026-07-15 04:43:22"
"202503","2","Amazon","140544761133.76","669650393.0244","259699","259282","259337","140436897007.22","0.0768","2026-07-15 04:43:22"
"202503","3","Alibaba","22194527496.75","3629118.0000","301129","47879","47859","28455064017.75","-22.0015","2026-07-15 04:43:22"
"202503","4","Ozon","4470351101.00","27309768.0000","127972","127968","127948","5095698904.00","-12.2721","2026-07-15 04:43:22"
"202504","1","SMT","7498632668.27","128090191.0000","1544635","117790","117790","6978369019.70","7.4554","2026-07-15 04:43:22"
"202504","2","Amazon","138302481457.36","651044146.5039","255470","255066","255119","140544761133.76","-1.5954","2026-07-15 04:43:22"
"202504","3","Alibaba","22350946261.50","3708711.0000","301131","47590","47581","22194527496.75","0.7048","2026-07-15 04:43:22"
"202504","4","Ozon","1329405985.00","10109212.0000","127972","127968","127948","4470351101.00","-70.2617","2026-07-15 04:43:22"
"202505","1","SMT","12629284376.22","143921652.0000","1544635","73901","73901","7498632668.27","68.4212","2026-07-15 04:43:22"
"202505","2","Amazon","134737712553.20","648918806.7834","248646","248255","248306","138302481457.36","-2.5775","2026-07-15 04:43:22"
"202505","3","Alibaba","35018905362.75","6594639.0000","212116","98382","98382","22350946261.50","56.6775","2026-07-15 04:43:22"
"202505","4","Ozon","6367336440.00","14556519.0000","127972","127968","127948","1329405985.00","378.9610","2026-07-15 04:43:22"
"202506","1","SMT","15080269792.25","149802523.0000","1544635","90677","90677","12629284376.22","19.4072","2026-07-15 04:43:22"
"202506","2","Amazon","133720082064.71","629937632.9167","241944","241562","241612","134737712553.20","-0.7553","2026-07-15 04:43:22"
"202506","3","Alibaba","35091226793.25","6617111.0000","211301","98123","98123","35018905362.75","0.2065","2026-07-15 04:43:22"
"202506","4","Ozon","1212704880.00","7390168.0000","127972","127968","127948","6367336440.00","-80.9543","2026-07-15 04:43:22"
