"Field","Type","Null","Key","Default","Extra"
id,int,NO,PRI,,auto_increment
shop_id,varchar(255),YES,MUL,,""
shop_name,varchar(255),YES,"",,""
shop_info,varchar(255),YES,"",,""
company,varchar(255),YES,"",,""
company_address,varchar(255),YES,"",,""
country,varchar(255),YES,"",,""
postcode,varchar(255),YES,"",,""
html,varchar(255),YES,"",,""
goodrate_month,varchar(255),YES,"",,""
middlerate_month,varchar(255),YES,"",,""
badrate_month,varchar(255),YES,"",,""
comment_month,varchar(255),YES,"",,""
goodrate_quarterly,varchar(255),YES,"",,""
middlerate_quarterly,varchar(255),YES,"",,""
badrate_quarterly,varchar(255),YES,"",,""
comment_quarterly,varchar(255),YES,"",,""
goodrate_year,varchar(255),YES,"",,""
middlerate_year,varchar(255),YES,"",,""
badrate_year,varchar(255),YES,"",,""
comment_year,varchar(255),YES,"",,""
goodrate_total,varchar(255),YES,"",,""
middlerate_total,varchar(255),YES,"",,""
badrate_total,varchar(255),YES,"",,""
comment_total,varchar(255),YES,"",,""
province,varchar(255),YES,"",,""
city,varchar(255),YES,"",,""
county,varchar(255),YES,"",,""
main_sales,varchar(255),YES,"",,""
average_price,varchar(255),YES,"",,""
sales,varchar(255),YES,"",,""
sales_money,varchar(255),YES,"",,""
sales_money_y,varchar(255),YES,"",,""
category_id_new,varchar(100),YES,"",,""
category_name_new,varchar(100),YES,"",,""
