"Field","Type","Null","Key","Default","Extra"
goods_id,varchar(255),YES,"",,""
shop_id,varchar(255),YES,"",,""
shop_name,varchar(255),YES,"",,""
shop_url,varchar(255),YES,"",,""
score,varchar(255),YES,"",,""
company,varchar(255),YES,"",,""
address,varchar(255),YES,"",,""
company_cn,varchar(255),YES,"",,""
company_address,varchar(255),YES,"",,""
country,varchar(255),YES,"",,""
city_ozon,varchar(255),YES,"",,""
province,varchar(255),YES,"",,""
city,varchar(255),YES,"",,""
county,varchar(255),YES,"",,""
sales_num,varchar(255),YES,"",,""
sales_money,varchar(255),YES,"",,""
category_id1,varchar(255),YES,"",,""
category_name1,varchar(255),YES,"",,""
category_id2,varchar(255),YES,"",,""
category_name2,varchar(255),YES,"",,""
category_id3,varchar(255),YES,"",,""
category_name3,varchar(255),YES,"",,""
category_name_new,varchar(100),YES,"",,""
