"Field","Type","Null","Key","Default","Extra"
shop_id,varchar(255),NO,PRI,,""
seller_id,varchar(255),YES,"",,""
shop_name,varchar(255),YES,"",,""
address_y,varchar(255),YES,"",,""
company,varchar(255),YES,MUL,,""
shui_id,varchar(255),YES,"",,""
yingye_id,varchar(255),YES,"",,""
address,varchar(255),YES,"",,""
people,varchar(255),YES,"",,""
scope,varchar(255),YES,"",,""
shopCreatedAt,varchar(255),YES,"",,""
jiguan,varchar(255),YES,"",,""
province,varchar(45),YES,"",,""
city,varchar(45),YES,"",,""
county,varchar(45),YES,"",,""
sales_num,varchar(255),YES,"",,""
sales_money,varchar(255),YES,"",,""
fans,varchar(255),YES,"",,""
shop_address,varchar(255),YES,"",,""
open_time,varchar(255),YES,"",,""
sales_month,varchar(255),YES,"",,""
category_id,int,YES,"",,""
category_name,varchar(100),YES,"",,""
category_id_new,int,YES,"",,""
category_name_new,varchar(100),YES,"",,""
