"shop_id","不同企业名称数量"
A00038802J7X43YTW44TD,2
A000487637ZE3V0CEW202,2
A00706051U9ZWULYFP1WN,2
A009584315LPZVWG8ZCM5,2
A01357502XND0OBMBXFOD,2
A02483511TSXUTE0SDUAS,2
A0250032J3FQV2IA2PY7,2
A0252963B0X1OB20Q9CI,2
A038338732HYPKP7IJ7WB,2
A03951323BQHKKDC8INO8,2
A042069827EGL7VC1PGO7,2
A05041651U09NXEBAENF3,2
A05200131KQ0V565RRK19,2
A05520481OBKSRAXIMM1J,2
A05899353288E0TO298U9,2
A0593353QE4MIRI48BL2,2
A0636735QEXQ0EP97KYQ,2
A0643850WUER20TXMK25,2
A06539733L3EU9YCFA4GK,2
A0676668WDAYT6X6L6MW,2
A06778963UPWHNRAC2BEZ,2
A07158422UUJPVQH07HD3,2
A07344271RPTNKK64EYM9,2
A07467013OTAORWZ0YY0U,2
A0851354B6OZO7OZ6XX,2
A092720419LSR7BA9T1NN,2
A09285103P6BICR2IGXRL,2
A09431283714L7Z29B82T,2
A09599961M0KSX12P4BJB,2
A1001MAAQ3DQPE,2
A1004UH4648KKM,3
A100H3TB88XPYX,2
A100RSH6NX3I78,2
A100SXS47Y7KU9,2
A100UAQYSTS4BB,2
A100WMS38UDCA7,2
A100ZWIJ98M6EU,2
A1012JTKGY5DNA,2
A1012TJNYG96V3,2
A101A08QE3Q7L6,2
A101GKATT10PAN,2
A10270QMJV6RD9,2
A1029AC6FFGXNG,2
A102DYBOKFB506,2
A102KABZCIHMBN,2
A102M7M4PB6PTG,2
A102UI329SB59P,2
A1033T4DYSSUNR,2
A10387RIK920RD,2
A1038FI5B16MPZ,2
A1039HD2U27VAX,2
A103DUOH84VA5C,2
A103DYIGR4TKXK,2
A103LPBW36O1S3,2
A103UI1JLIAQUV,2
A1043207150639GG81CHV,2
A1045KPXLOXNL8,2
A1048311141PFFWWV4RA0,2
A1048RQ3UOUDQ3,2
A104CC2K5RVL05,2
A104EB7O63YN6B,2
A104H9ZED5FV7P,2
A104JP9PJP8QP2,2
A104ODLC8XX5O,2
A104S2OXOSOVT7,2
A104W324XBRMU8,2
A1057FBD44ECMO,2
A10592LZFJ2AVF,2
A1059K488KCC2B,2
A105GJG5SA7TEZ,2
A105JXUTQJ82QI,2
A105P54O1XVPVT,2
A105RRHSUJ1F51,2
A105RZUEFBW3K7,2
A105WRNZUDADJU,2
A105Y3E7V9GXH2,2
A1061JK4Z5HZQV,2
A1063LSRBXZQUY,2
A1064DHLQ0LI0U,2
A1064NGU4TGJX7,2
A106K637HDU3XJ,2
A106PRK9NFNPMO,2
A106PWYWJ5P31H,2
A106VN7DWD470L,2
A106WGTVYZKUEB,2
A1070LPV9OU79R,2
A107JOTRWX92S7,2
A107RTQP4THSRL,2
A107SSFXU25U8A,2
A1085XS0GN0V3T,2
A1088JLL90253K,2
A108MTBBOW57U9,2
A108SHCAL5T7FO,2
A108WVU14IDZBK,2
A109BWLLJ82GIB,2
A109DSWF061CGM,2
A109FLO0CI6KFD,2
A109KSTK8UCNKH,2
A109LBQU126E6G,2
A109SFZ7X9AOCB,2
A109XCLFW73MAZ,2
A10A31WBNSKD15,2
A10AA71N56BMPH,3
A10AHBTQXJMVXI,2
A10AIY6PDWC30E,2
A10AM9XJXB3LW4,2
A10AMUDUZ0SRGO,2
A10AQIRJF8GXVW,2
A10ASM998S3JBX,2
A10B2ALRR9RCK5,2
A10B338C4BKURO,2
A10B71ZB57SKYV,2
A10B8F5MEC9SJK,2
A10B8RSJ00KO0V,2
A10BA333JS9W7Q,2
A10BAIU77TGDTX,2
A10BBD0ANMNLSH,2
A10BHRIJ3UCW1Q,2
A10BN1SYT5O3H4,2
A10BQ859FCFI64,2
A10BRRLB14U9S2,2
A10BRZEU73DW5C,2
A10BWNFC5SO1F7,2
A10BYGNXJ3OY1I,2
A10C8GIFWE7ZU0,2
A10CNJDRSLG8LF,2
A10CRMO6AB7BJN,2
A10CUBO6M4EQ6Q,2
A10CVZW2CXUINE,2
A10CX6HQG8RU15,2
A10D7U088V94OF,2
A10D84BM208DEW,2
A10DDK92YZVMD5,2
A10DIKACYCGLYR,2
A10DMK198GPG0R,2
A10DNJBBYJAQ6T,2
A10DOK4YS4HTMF,2
A10DP3XKJ5TZXH,2
A10DTZCQ5N0Q3A,2
A10DV1UVX07PS5,2
A10DVO10CBW4AP,2
A10DW4UGJM196Q,2
A10DWULY1TB68P,2
A10E2WK9NX9DS1,2
A10E60KWLHX8UM,2
A10E9YW0CEHGLO,2
A10EB30VGUBTLB,2
A10EBT9ZA5MHUS,2
A10ECBJ9ALI6ON,2
A10EDFXJWJZ7OB,2
A10EGZGBLW8K0C,2
A10EI0T75G2HU6,2
A10EJB6CRFTD4Y,2
A10EKW9OY38URO,2
A10EKX1QB33M4M,2
A10EZFLYZTXUBS,2
A10F1UCVYQM5JN,2
A10F3DI14ZNIAT,2
A10F8TY22D4G5D,2
A10F93EFTA7ASU,2
A10FBIZN9MTEG6,2
A10FG0ZYXUX0D4,2
A10FH2YIWWE5OR,2
A10FJ8EFLDEZWK,2
A10FJN7HLYUTIG,2
A10FK812VZUQG3,2
A10FOIR5YPRUKI,2
A10FVBLQKTQRLM,2
A10GGIQ708ORIK,2
A10GHO3SL0L24R,2
A10GYJSR1QA0EV,2
A10H398A8JIH81,2
A10H64T2FUN1CC,2
A10H7NBP280QR8,2
A10H8H3LOW6Y4E,2
A10HA4Y84ZRDQE,2
A10HFWRM1A4JJQ,2
A10HGQ6HMW9DV1,2
A10HHK3UAL8SAN,2
A10HJS2V463HN4,2
A10HS8V9J74SOR,2
A10HXF4ZZGEBC5,2
