"shop_id","不同企业名称数量"
"0000.en",2
"000080huang.en",2
"0086toys.en",2
"0086ts.en",2
"0086up.en",2
"01tinawang.fm",2
"020hs.en",2
"020lf.en",2
"027cn.en",2
"0755117.en",2
"0755baozhuo.en",2
"08toys.en",2
"1-b-1.en",2
"1-moving.en",2
"1000s.en",2
"1000sheep.en",2
"100amazonia.trustpass",2
"100bloom.en",2
"100houseware.en",2
"100thinks.en",3
"100toys.en",2
"100x100italianfood.trustpass",2
"100yd.en",2
"101global.en",2
"10fingers.trustpass",2
"10gearsports.trustpass",2
"10gie.en",2
"10moons.en",2
"10shidu.en",2
"10units.en",2
"11garments.en",2
"11kingstars.en",2
"11woodwork.en",2
"121display.en",2
"123bed.en",2
"123dindon.en",2
"123sports.en",2
"13014505777.fm",2
"13533332990.en",2
"139med.en",2
"147tech.en",2
"1518915403ddgd.en",2
"1688aomei.en",2
"168998.fm",2
"168audio.en",2
"168package.en",2
"168radio.en",2
"17km.en",2
"180tian1.en",2
"180tian2.en",2
"190steelpipe.trustpass",2
"1917crystal.en",2
"1938.trustpass",3
"19401.en",2
"1976a.fm",2
"1979dachang.en",2
"1985blender.en",2
"1985truss.en",2
"1987group.en",2
"1989nd.en",2
"1990qianjin.en",2
"1999c.en",2
"19furniture.en",2
"1a1alight.en",2
"1ak.en",2
"1dingyi.en",2
"1directiontech.en",2
"1dollarstore.en",2
"1dygsm.en",2
"1green.en",2
"1hora.en",2
"1j-1j.en",2
"1kan.en",2
"1machine.en",2
"1mii.en",2
"1move-display.en",2
"1n.en",2
"1shining.en",2
"1staatech.en",2
"1stcom.fm",2
"1stcool.en",2
"1stcupid.en",2
"1stma.en",2
"1stshine.en",2
"1stweiyu.en",2
"1techcare.en",2
"1thgemstone.en",2
"1vtruck.en",2
"1westgift.en",2
"1zhuang.en",2
"2-drying.en",2
"2-space.en",2
"2002th.en",2
"2008car.en",2
"2008sc.fm",2
"2017sinocrafts.en",2
"2019wtkj.en",2
"2020hannuo.en",2
"2021.en",2
"2022jingzheng.en",2
"2048167.fm",2
"21700battery.en",2
"218wl.en",2
"21c.en",2
"21tvgame.en",2
"2200tape.en",2
"2207982m.fm",2
"22v.en",2
"24hgiftbox.en",2
"24hourprint.en",2
"24jslee.trustpass",2
"2597758pan.fm",2
"268dq.en",2
"2722794.fm",2
"272713.fm",2
"28-ceramics.en",2
"28ceramics.en",2
"28industries.en",2
"2dingyi.en",2
"2eagles-groups.en",2
"2hchina.en",2
"2lians.trustpass",2
"2m2children.en",2
"2mgroup.en",2
"2mosing.en",2
"2mtools.en",2
"2ndr.en",2
"2shejewelry.en",2
"2spackaging.trustpass",2
"2wco.en",2
"3-space.en",2
"3-u.en",2
"300zhen.en",2
"302393.en",2
"310metal.en",2
"3111yandex.en",2
"315furniture88.en",2
"316bodyjewelry.en",2
"3198liangfu.fm",2
"321002670621337.fm",2
"32sami.trustpass",2
"330425700723002.fm",2
"3310tetsunabe.trustpass",3
"33tm.en",2
"34863482.fm",2
"360-craft.en",2
"360autoparts.en",2
"360bh.en",2
"360hx.en",2
"360industrial.en",2
"360inflatable.en",2
"361packaging.en",2
"3647.en",2
"365custom.en",2
"365gps.en",2
"365t.en",2
"365tfood.en",2
"367bags.en",2
"367gifts.en",2
"367outdoor.en",2
"3a-game.en",2
"3ainternational.en",2
"3apacks.en",2
"3b-china.en",2
"3bdiamond.en",2
"3bees.en",2
"3boh.en",2
"3c-accessories.en",2
"3c-floor.en",2
"3c-link.en",2
"3cbit.en",2
"3cbuy.en",2
"3ceryue.en",2
"3cjiayi.en",2
"3cpart.en",2
"3cshengyi.en",2
"3ctrends.en",2
"3ctv.en",2
"3dah.en",2
"3dbeltpulley.en",2
"3dboard.en",2
"3ddisplay.en",2
"3delectron.en",2
"3dflyingbear.en",2
"3dholodisplay.en",2
"3dkingwing.en",2
"3dknight.en",2
"3dmaxtech.en",2
"3dmetalpuzzlemodel.en",2
