"shop_id","url","company","company_cn","company_address","country","province_o","city_o","address","zip","contact_people","sales_money","sales","company_type","keep_time","province","city","county","category_id","category_name","category_id_new","category_name_new"
qingyuz.en,https://qingyuz.en.alibaba.com/contactinfo.html,Dongguan Qingyu Electronic Technology Co.， Ltd.,东莞市庆煜电子科技有限公司,"203， Building 7， No. 108， Lingang Road， Shatian Town， Dongguan， Guangdong， China",China,"",Dongguan City,"","523941",Ms. Aimi Yang,"100000","111",Trading Company,"6",广东省,东莞市,-,3,电子产品,3,电子产品
luckytech.en,https://luckytech.en.alibaba.com/contactinfo.html,LUCKY TECHNOLOGY LIMITED,"","2c， Wah Hing Industrial Mansion， 36 Tai Yau Street， San Po Kong， Kowloon， Hong Kong S.A.R.",Hong Kong S.A.R.,"",San Po Kong， Kowloon,"","",Mr. Lucky Technology,"10000","5",Manufacturer,"7","","","",,,,
harmonymold.en,https://harmonymold.en.alibaba.com/contactinfo.html,Jinan Harmony Mold Manufacture Co.， Ltd.,济南和谐模具制造有限公司,Room 3-502-1， No. 2008， Xinluo Street， High-Tech Zone， Jinan， Shandong， China,China,"",Jinan,"","",Ms. Liz Du,"6000","1",Manufacturer， Trading Company,"1",山东省,济南市,济阳区,,,,家居家装
mp-tw.en,https://mp-tw.en.alibaba.com/contactinfo.html,MAIN POWER ELECTRIC CO.， LTD.,"",No. 64， Tao Te Rd.， Taiwan， China,Taiwan， China,"",Tauyuan City,"","",Ms. Maggie Lee,"7000","7",Manufacturer， Trading Company,"6","","","",,,,服饰鞋包
tyjtech.en,https://tyjtech.en.alibaba.com/contactinfo.html,Shenzhen Tianyijian Technology Co.， Ltd.,深圳市天一健科技有限公司,"4113， Nanfang Bldg.， Shangbu Ind. Zone， Shenzhen， Guangdong， China",China,"",shenzhen,"","518000",Mr. shaoluan liu,"10000","85",Manufacturer， Trading Company,"6",广东省,深圳市,福田区,3,电子产品,3,电子产品
gsxy.en,https://gsxy.en.alibaba.com/contactinfo.html,Shenzhen Guangshun Core Technology Co.， Ltd.,深圳市光顺芯业科技有限公司,Room 707， Building B， Hangyuan Building， Huaqiang North Street， Shenzhen， Guangdong， China,China,"",shenzhenshi,"","",Guo Huaguang,"4000","18",Trading Company， Agent， Distributor\/Wholesaler,"2",广东省,深圳市,福田区,13,音乐器材,13,电脑办公
yipsing.en,https://yipsing.en.alibaba.com/contactinfo.html,Shumkong Yip Sing Plastic (shenzhen) Co.， Ltd.,"",Tongde Community Xiao-Yi Road 56， Shenzhen， Guangdong， China,China,"",SHENZHEN,"","518118",Ms. Yammie Law,"","",Manufacturer， Trading Company,"8",广东省,深圳市,宝安区,7,健康家居,7,美容护理
hss.en,https://hss.en.alibaba.com/contactinfo.html,HIGH STORAGE SYSTEM CO.， LTD.,"",No. 75-17， Shao-Chuan St.， Kusan Dist.，， Taiwan， China,Taiwan， China,"",Kaohsiung,"","",Mr. Benjamin Wu,"","",Manufacturer， Trading Company,"3","","","",,,,工业耗材
win-pack.en,https://win-pack.en.alibaba.com/contactinfo.html,Win-Pack Industrial Limited,上海文莹国际贸易有限公司,Room 1302， 101， Yingao West Road， Shanghai， China,China,"",shanghai,"","200083",Ms. Ula Yuan,"830000","82",Manufacturer， Trading Company,"10",上海市,上海市,普陀区,9,汽车配件,9,服饰鞋包
perfect-inflatable.en,https://perfect-inflatable.en.alibaba.com/contactinfo.html,Guangzhou Perfect Inflatable Products Co.， Ltd.,广州宇良充气制品有限公司,"3 Tangchang Road， Liaocai West Road， Liaocai Village， Guangzhou， Guangdong， China",China,"",Guangzhou City,"","510000",Mr. Kim Ke,"80000","37",Manufacturer， Trading Company,"8",广东省,广州市,白云区,,,,玩具娱乐
noveltek.en,https://noveltek.en.alibaba.com/contactinfo.html,NOVELTEK INDUSTRIAL MANUFACTURING INC.,"",No. 16-1， Shui-Liu-Niang， Shui-Yuan-Village， Taiwan， China,Taiwan， China,"",Miaoli,"","36059",Mr. Clint Chai,"","",Manufacturer， Trading Company,"14","","","",,,,汽车配件
sftledinternational.en,https://sftledinternational.en.alibaba.com/contactinfo.html,Jiangsu SFT Intelligent Technology Co.， Ltd.,江苏史福特智能科技有限公司,Room 1604， Building 1， Huijie Plaza， Nanjing， Jiangsu， China,China,"",nanjing,"","210000",Ms. Lydia Huang,"10000","22",Trading Company,"6",江苏省,扬州市,邗江区,2,电脑办公,2,家居家装
lungyu.en,https://lungyu.en.alibaba.com/contactinfo.html,LUNG YU CO.,"","4/f， No. 5， Lane 24， Shiau De St.， Taiwan， China",Taiwan， China,"",Changhua,"","500",Ms. Cecilia Lo,"20000","18",Manufacturer， Trading Company， Distributor\/Wholesaler,"11","","","",,,,杂货和美食
joylight.en,https://joylight.en.alibaba.com/contactinfo.html,JEOU LUH ENTERPRISE CO.， LTD.,"",No. 30， Fenggong S. Rd.， Shengang Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","42942",Mr. Chang Jenson,"","",Manufacturer,"15","","","",,,,工业耗材
